taxon,date
15008TCH,2012.346
15009TCH,2012.347
15010TCH,2012.349
15011TCH,2012.35
15012TCH,2012.351
15013TCH,2012.352
15014TCH,2012.354
15015TCH,2012.356
15016TCH,2012.357
15017TCH,2012.358
15018TCH,2012.359
15019TCH,2012.363
15020TCH,2012.364
15021TCH,2013.367
15022TCH,2013.368
15023TCH,2013.369
15024TCH,2013.371
15025TCH,2013.372
15026TCH,2013.373
15027TCH,2014.381
15028TCH,2011.328
15030TCH,2011.334
15031TCH,2012.336
15033TCH,2012.341
15034TCH,2012.344
15035TCH,2012.348
15036TCH,2012.355
15037TCH,2012.361
15038TCH,2012.366
15039TCH,2013.379
15042TCH,2014.401
15044TCH,2015.405
15047TCH,2015.408
